"","logFC.groupAIHcirrhosis...grouphealthy","logFC.groupAIHcirrhosis...groupAIHnocirrhosis","logFC.groupAIHnocirrhosis...grouphealthy","logCPM","F","PValue"
"ENSG00000197054",0.182579033027896,0.118849717963382,0.0637293150645141,2.36457045909438,0.195348923782296,0.822859496218836
"ENSG00000197647",0.0170378059715881,-0.014762820768588,0.0318006267401762,2.47473529873394,0.012325723960635,0.987751421045513
"ENSG00000257355",-0.380894393810719,0,-0.380894393810719,-1.60660904595203,4.30624116030431,0.352707987284961
"ENSG00000257446",1.18362139434766,0.224339332929801,0.959282061417861,-0.486788126051427,0.992873592405209,0.374118593112053
"ENSG00000223547",0.0781978048716901,0.0259859667810423,0.0522118380906478,4.45703062351628,0.106145099914568,0.899394932816743
"ENSG00000132010",-0.581706194478399,-0.321855675209145,-0.259850519269254,1.0806386607142,0.778855589789582,0.461683651843131
"ENSG00000213297",-5.12548240610387e-15,0,-5.12548240610387e-15,-1.61522660110368,0,1
"ENSG00000257591",1.03838203954346,0.655064904585865,0.383317134957595,-1.33138862615082,0.825821823129225,0.440827009855169
"ENSG00000196646",-0.0766784208944732,-0.000879783256405969,-0.0757986376380673,4.71950946650076,0.368007141462504,0.693041915555163
"ENSG00000197857",-0.0948213785020836,0.00292244727011924,-0.0977438257722029,5.17311401504709,0.578436677046682,0.562632008990809
"ENSG00000188868",-0.828674819101495,-0.498022295051388,-0.330652524050107,2.20156490214471,2.41672706882346,0.094386610746227
"ENSG00000198342",-0.344467554694062,0.0464704658067491,-0.390938020500811,1.200339773375,0.533508265446101,0.588197081360972
"ENSG00000268744",1.05114708140873,1.87905287904521,-0.827905797636487,-1.29094173169739,3.06431614712901,0.227884887921603
"ENSG00000196466",-0.258091508679684,0.144451176306798,-0.402542684986482,2.77860547307912,1.67259080664452,0.192948790643435
"ENSG00000268870",-5.12548240610387e-15,0,-5.12548240610387e-15,-1.61522660110368,0,1
"ENSG00000180855",0.0249468743592527,0.124001575875681,-0.0990547015164282,1.63186846853768,0.0775590784102846,0.925427741185881
"ENSG00000269755",-0.833720528466632,-0.836578466648472,0.00285793818183979,-1.03228531082729,0.505489300027136,0.604737235918137
"ENSG00000242852",-0.699223202839853,-0.162630835394321,-0.536592367445532,0.490158582474188,0.755502181255083,0.472426322352363
"ENSG00000196826",-5.12548240610387e-15,0,-5.12548240610387e-15,-1.61522660110368,0,1
"ENSG00000249709",-0.336843925371405,-0.297662276841061,-0.0391816485303438,3.28811307149668,1.52299153125143,0.22305302877914
"ENSG00000269693",-0.356827901081586,-0.0256250364120297,-0.331202864669556,1.19466580804587,0.403791773100399,0.668862718931731
"ENSG00000188033",-0.00448462801321095,0.0743447525819846,-0.0788293805951955,3.48118200997138,0.142242827054685,0.867585092791323
"ENSG00000173875",-0.122357838815309,0.0229960699437356,-0.145353908759045,5.23058859670906,1.21620264440687,0.30068148613828
"ENSG00000269242",1.93987315788119,-0.483517061320338,2.42339021920153,-1.39208816904235,9.87505329178578,0.000153280334321728
"ENSG00000104774",0.236545458031122,0.120677309326832,0.11586814870429,7.09381021121612,2.71258606914876,0.0712304162719706
"ENSG00000269590",-5.12548240610387e-15,0,-5.12548240610387e-15,-1.61522660110368,0,1
"ENSG00000123154",-0.414350191566375,-0.0581765382914853,-0.35617365327489,2.69270878931358,2.29915222593607,0.105604319117531
"ENSG00000105583",0.267205815805671,0.139926389639367,0.127279426166304,1.79662468569004,0.324370340910543,0.723737253819505
"ENSG00000095059",-0.263173224468139,-0.187517710432199,-0.0756555140359404,5.35116387587861,2.94022190604227,0.0574214075904943
"ENSG00000132004",-0.933644956956334,-0.516339417573079,-0.417305539383255,1.66238732268573,2.51012159306643,0.0863469414818199
"ENSG00000105576",-0.308870644157333,-0.0550927402695302,-0.253777903887803,5.61899883346536,7.86331657842167,0.000672132405882247
"ENSG00000123144",0.169540212484968,0.0552282957687306,0.114311916716238,6.5748936697414,1.7257350237507,0.183281006279779
