AIHnosteroid.vs.healthy,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
203,ENSG00000011009,243.6539431,-0.031288432,0.083307262,-0.37557869,0.707230136,0.907407905
204,ENSG00000117308,47.91363355,0.151968604,0.178701964,0.85040254,0.395101324,0.752227558
205,ENSG00000117305,160.5023626,0.156924974,0.109551716,1.432428254,0.152021297,0.56872448
206,ENSG00000179163,126.0789669,0.173825897,0.16192731,1.073481041,0.283055341,0.67739572
207,ENSG00000188822,100.0516535,-0.427554406,0.186019151,-2.298442957,0.021536591,0.328702356
208,ENSG00000189266,501.6577857,0.065066236,0.091119268,0.714077689,0.475179141,0.799246119
209,ENSG00000188529,506.7212755,-0.062325889,0.094416453,-0.660116829,0.50917886,0.817687205
210,ENSG00000185436,40.38353683,-0.274436134,0.228727389,-1.199839404,0.230201717,0.642149353
211,ENSG00000001460,35.92155704,-0.457861442,0.223052906,-2.052703326,0.040101359,0.391853535
212,ENSG00000001461,433.6180491,-0.042260745,0.098476139,-0.429147057,0.667816209,0.890047679
213,ENSG00000117602,528.9955815,-0.174845488,0.147584799,-1.184712038,0.236131321,0.647380813
214,ENSG00000133226,732.7251274,-0.058542705,0.066155629,-0.884924022,0.376197611,0.742157246
215,ENSG00000169504,186.2851885,-0.013414388,0.148161905,-0.090538713,0.927859132,0.980056898
216,ENSG00000020633,1171.792476,-0.220501453,0.115724934,-1.905392766,0.056729035,0.434603342
217,ENSG00000117614,204.9097104,0.257522618,0.111833243,2.302737633,0.021293609,0.328005864
218,ENSG00000117616,1883.654485,0.094444759,0.092846866,1.017209974,0.309053552,0.697876384
219,ENSG00000187010,198.0345749,1.15735623,0.40836307,2.834135395,0.004594986,0.201491701
220,ENSG00000183726,441.5602611,0.240636541,0.093058857,2.585853193,0.009713829,0.252801764
221,ENSG00000188672,39.32839462,0.736557344,0.272504707,2.702916039,0.006873411,0.237548689
222,ENSG00000204178,186.8931983,0.168197408,0.109653361,1.533901069,0.125053993,0.544022115
223,ENSG00000157978,812.2295171,-0.211540737,0.133849916,-1.580432349,0.114007888,0.528915606
224,ENSG00000117643,263.1686301,-0.153767453,0.172787355,-0.889923071,0.373507195,0.740174248
225,ENSG00000162430,167.7974834,0.059702052,0.127419989,0.468545417,0.6393946,0.877630569
226,ENSG00000117640,76.79297737,-0.04084106,0.14247494,-0.286654343,0.774377,0.929393496
227,ENSG00000127423,7.762783461,0.228886016,0.513803911,0.44547348,0.655977621,0.883112544
228,ENSG00000182749,54.48501674,-0.23362211,0.164307295,-1.421860849,0.155066651,0.572466836
229,ENSG00000117632,42.01156493,0.076896506,0.210331548,0.365596636,0.714666086,0.910677289
230,ENSG00000158006,158.2646741,-0.3210153,0.122276926,-2.625313796,0.008656914,0.249870894
231,ENSG00000175087,65.58537746,-0.084339867,0.163714417,-0.515164566,0.606438028,0.85981934
232,ENSG00000142675,10.34437583,-0.429500358,0.459976072,-0.933745001,0.350435446,0.725566563
233,ENSG00000130695,130.7633589,-0.002534446,0.139687566,-0.018143676,0.985524235,0.996075942
234,ENSG00000142669,1538.932221,0.201633947,0.120640189,1.671366303,0.094649348,0.502560912
235,ENSG00000158062,493.4976393,0.053887678,0.096689014,0.557329896,0.577302053,0.847935481
236,ENSG00000169442,118.6335473,-0.041876264,0.171303933,-0.244455941,0.806877721,0.939675899
237,ENSG00000176092,49.49360658,-0.125577434,0.218949201,-0.573545979,0.566275077,0.844432865
238,ENSG00000176083,50.19590357,0.129673888,0.401388343,0.323063414,0.746647217,0.919429715
239,ENSG00000117682,312.3380296,-0.157562356,0.081084157,-1.943195327,0.051992563,0.419996998
240,ENSG00000198830,924.3097029,0.097457098,0.07999153,1.218342717,0.223093764,0.634476338
241,ENSG00000117676,2142.191693,0.069885487,0.105559759,0.662046673,0.507941311,0.817115564
242,ENSG00000117713,2322.276774,-0.007740913,0.08411466,-0.092028111,0.926675705,0.979905074
243,ENSG00000060642,128.5409377,-0.066896956,0.118869745,-0.562775294,0.573587906,0.84638383
244,ENSG00000204160,2396.488399,0.09662792,0.140785863,0.68634675,0.492494475,0.809232982
245,ENSG00000142751,201.9572043,-0.074360078,0.092071848,-0.807630993,0.41930304,0.767372539
246,ENSG00000198746,83.41286796,0.046290097,0.13094439,0.353509585,0.723706445,0.913712434
247,ENSG00000090273,237.316435,0.016029034,0.103217404,0.155293905,0.876589621,0.964255925
248,ENSG00000175707,10.34914375,-0.517759967,0.408781823,-1.266592442,0.205301056,0.619450476
249,ENSG00000253368,6.088684263,1.19653019,0.558646738,2.141836886,0.03220661,NA
250,ENSG00000090020,441.714381,0.061333404,0.118930525,0.515707835,0.606058482,0.85981934
251,ENSG00000142784,1639.329007,0.231377818,0.135292935,1.710198817,0.087229114,0.490643514
252,ENSG00000186501,227.2406119,-0.132988802,0.091020308,-1.461089344,0.143990924,0.563479109
253,ENSG00000142765,739.3523885,-0.234555056,0.077946182,-3.009192373,0.002619432,0.183962569
254,ENSG00000142733,65.15762975,0.154954606,0.196828468,0.787257085,0.431131386,0.774737785
255,ENSG00000158195,4069.671958,0.316149436,0.153846808,2.054962599,0.039882617,0.39175648
256,ENSG00000126705,171.1845105,-0.197281845,0.118455988,-1.665444261,0.095824155,0.503584887
