,yes.vs.notx,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2618,ENSG00000187098,32.142676,-0.567047139,0.327949093,-1.729070614,0.083796458,NA
2619,ENSG00000114861,1315.032275,0.1038999,0.095149395,1.091965963,0.274848062,0.511612667
2620,ENSG00000163412,1023.128418,0.215956994,0.140271481,1.539564515,0.123666541,0.329127517
2621,ENSG00000170837,152.0116491,0.585457161,0.258312395,2.266469487,0.023422653,0.12963549
2622,ENSG00000163421,876.2307361,0.506681033,0.300948988,1.683611022,0.092256867,0.279878983
2623,ENSG00000163602,534.9827162,0.409860241,0.170142225,2.408927247,0.015999487,0.105808706
2624,ENSG00000144736,84.12717523,-0.132773038,0.176041306,-0.754215252,0.450719981,0.668887977
2625,ENSG00000163605,284.1532489,0.386227823,0.169725567,2.275601904,0.022869847,0.128156453
2626,ENSG00000255423,33.64146542,0.168357343,0.232692259,0.723519312,0.469360894,NA
2627,ENSG00000227124,60.4307482,-0.376096702,0.220312779,-1.707103434,0.087802829,0.273273675
2628,ENSG00000169855,10.06897513,-0.880036142,0.810581598,-1.085684828,0.277618456,NA
2629,ENSG00000114480,164.6572283,0.650907738,0.17511473,3.717035895,0.000201574,0.012922315
2630,ENSG00000083937,151.106647,0.009261597,0.137124662,0.067541438,0.946150675,0.973915707
2631,ENSG00000163320,641.7681741,-0.062705434,0.085893172,-0.730039806,0.465365854,0.681083007
2632,ENSG00000175105,88.45462063,-0.375819998,0.207485036,-1.811311335,0.070092672,0.240504758
2633,ENSG00000179021,125.3135218,-0.100926839,0.175485532,-0.575129116,0.565203978,0.754276114
2634,ENSG00000184500,28.72183986,0.442261062,0.478030109,0.92517407,0.354875369,NA
2635,ENSG00000169379,42.50152986,-0.372508451,0.245779595,-1.515619921,0.129615487,0.339118727
2636,ENSG00000178750,5.325866931,-0.42419523,0.797637934,-0.531814263,0.594854643,NA
2637,ENSG00000178700,52.79189675,-0.116431132,0.229120751,-0.508164937,0.611337678,0.784898963
2638,ENSG00000178694,164.0197073,0.12173166,0.167709988,0.725846213,0.467933053,0.683440146
2639,ENSG00000113966,17.53591351,-0.068644355,0.469391028,-0.146241301,0.883730902,NA
2640,ENSG00000080200,116.991624,-0.294039123,0.236298627,-1.244353923,0.213369333,0.449159492
2641,ENSG00000170854,107.3727003,-0.615565058,0.179493698,-3.429452205,0.000604801,0.022539347
2642,ENSG00000080822,145.1595642,-0.412645787,0.173116402,-2.383631952,0.017142738,0.109350032
2643,ENSG00000080819,133.0503367,-0.12806868,0.141280949,-0.906482306,0.364680626,0.597548277
2644,ENSG00000154165,41.39033549,0.06275995,0.529497001,0.118527489,0.905649715,0.954895057
2645,ENSG00000064225,170.5947137,0.290673734,0.209695792,1.386168654,0.165695411,0.389998436
2646,ENSG00000057019,26.17500602,-0.16371179,0.340854584,-0.480298043,0.63101548,NA
2647,ENSG00000184220,38.76536377,-0.668255587,0.326918932,-2.044101832,0.040943488,0.177993328
2648,ENSG00000168386,44.52758166,-0.104177502,0.303045018,-0.343769065,0.731019967,0.858566111
2649,ENSG00000036054,223.574016,0.152042311,0.143484703,1.059641253,0.289307839,0.524747027
2650,ENSG00000114021,112.8031399,-0.348233766,0.192541294,-1.808618602,0.070510276,0.2413034
2651,ENSG00000154174,173.2968311,-0.34311951,0.153913304,-2.229303774,0.0257937,0.136851756
2652,ENSG00000114354,233.6423244,0.009800788,0.109776685,0.089279318,0.92885993,0.965468723
2653,ENSG00000154175,30.12819477,-0.037811665,0.269493603,-0.140306353,0.888417945,NA
2654,ENSG00000081148,18.55450979,-0.712443744,0.382139087,-1.864357162,0.062271564,NA
2655,ENSG00000138468,348.8911245,-0.053193158,0.118465001,-0.449020025,0.653417211,0.811855282
2656,ENSG00000174173,35.87771227,-0.731683926,0.354301938,-2.065142319,0.038909536,NA
2657,ENSG00000081154,313.7360059,-0.118963937,0.114050948,-1.043077139,0.296912568,0.53169027
2658,ENSG00000066422,261.3028569,-0.093043574,0.114514514,-0.812504642,0.416502124,0.641930463
2659,ENSG00000114391,434.9432289,-0.414497372,0.208240044,-1.990478699,0.046538228,0.189812658
2660,ENSG00000182504,116.7144577,0.142490814,0.202822031,0.702541108,0.482341775,0.695583814
2661,ENSG00000144815,301.6529061,0.18157445,0.110532638,1.642722488,0.100440364,0.294081373
2662,ENSG00000144802,1007.244339,0.222133762,0.122660232,1.810968058,0.070145796,0.240536653
2663,ENSG00000170017,162.2256585,0.297487778,0.160077576,1.858397569,0.063112577,0.226785999
2664,ENSG00000114423,467.6970727,-0.168834272,0.142577689,-1.184156324,0.236351188,0.474143537
2665,ENSG00000114439,533.9063722,-0.076460566,0.085287816,-0.896500464,0.369985533,0.602971982
2666,ENSG00000196776,1487.210784,-0.210854702,0.081068061,-2.600959005,0.009296356,0.079160093
2667,ENSG00000114446,61.70166431,-0.536156108,0.265684519,-2.018017876,0.0435894,0.183593549
2668,ENSG00000163507,27.02294545,-0.087483855,0.380578229,-0.229870888,0.818192099,NA
2669,ENSG00000198919,87.56668235,-0.23400223,0.203270343,-1.151187264,0.249655204,0.486881802
2670,ENSG00000163519,152.6551943,-0.517767894,0.263453231,-1.965312369,0.049378095,0.19562789
2671,ENSG00000177707,15.38829263,-0.807430083,0.493971196,-1.634569162,0.102139397,NA
2672,ENSG00000153283,443.6208919,-0.373044852,0.168780639,-2.210234864,0.027088867,0.141675461
2673,ENSG00000177494,73.65401292,-0.462553257,0.244277436,-1.893557031,0.058283832,0.21608331
2674,ENSG00000240891,53.9973889,-0.362641097,0.246712023,-1.469896329,0.141589834,0.356000229
2675,ENSG00000144824,47.81527287,-0.306208324,0.336173218,-0.910864721,0.362366656,0.594948138
2676,ENSG00000144827,97.72182117,-0.500149558,0.196371196,-2.546959882,0.010866592,0.085706808
2677,ENSG00000114529,26.389279,-0.83616413,0.39518855,-2.115861225,0.034356612,NA
2678,ENSG00000174500,49.29929737,-0.142727394,0.292508284,-0.487943082,0.625590158,0.793335396
2679,ENSG00000091972,27.80936354,0.058919895,0.462129031,0.127496633,0.898547338,NA
2680,ENSG00000186265,130.9803204,-0.586838007,0.228488076,-2.568352882,0.010218308,0.08288362
2681,ENSG00000144848,300.7687032,0.081092703,0.131164672,0.618251103,0.536409829,0.734632704
2682,ENSG00000138459,164.4114662,-0.010542913,0.130998558,-0.080481137,0.935854598,0.969631788
2683,ENSG00000091986,16.47001721,0.662250951,0.522365438,1.267792436,0.204872084,NA
2684,ENSG00000163606,66.99429392,-1.074362613,0.265114739,-4.052443921,5.07E-05,0.006678123
2685,ENSG00000163607,46.96251337,-0.41797943,0.214963419,-1.9444212,0.051844679,0.199927869
2686,ENSG00000163608,189.8843597,-0.341824907,0.167033976,-2.046439392,0.04071316,0.177481772
2687,ENSG00000206530,75.15852577,-0.184848214,0.21468047,-0.8610388,0.389216674,0.619000272
2688,ENSG00000163611,108.2047827,-0.178537445,0.180558757,-0.988805237,0.322758441,0.558212511
2689,ENSG00000072858,350.7609939,-0.203799336,0.170473695,-1.195488466,0.23189624,0.469966015
2690,ENSG00000176542,672.7358614,0.00999562,0.089593742,0.111566054,0.911167489,0.957925414
2691,ENSG00000121579,554.6452693,0.045853576,0.099019333,0.463077,0.643309175,0.804915661
2692,ENSG00000114573,799.5603739,0.458178907,0.164583078,2.783876162,0.005371354,0.061131122
2693,ENSG00000178075,70.07554674,0.050198232,0.322922666,0.155449703,0.876466803,0.940693
2694,ENSG00000184307,42.71061432,-0.448723931,0.290175129,-1.546390049,0.122010396,0.327560303
2695,ENSG00000163617,50.35443402,-0.276998248,0.207313387,-1.336132953,0.181505821,0.411356912
2696,ENSG00000151576,155.7847047,-0.119047057,0.120388118,-0.988860521,0.322731389,0.558212511
2697,ENSG00000174255,19.0163774,-0.60619087,0.402313597,-1.506762075,0.131871654,NA
2698,ENSG00000181847,147.6128582,-0.483483148,0.204753596,-2.361292585,0.018211356,0.113360452
2699,ENSG00000181722,312.7026375,-0.175699181,0.130192949,-1.349529165,0.177167059,0.405963404
2700,ENSG00000114638,6.237224443,0.714897208,0.864433319,0.827012555,0.408229945,NA
2701,ENSG00000121578,116.388798,0.392410705,0.222543272,1.763300691,0.077849789,0.255529313
2702,ENSG00000031081,231.4111516,-0.100690757,0.168565941,-0.597337494,0.550282077,0.745258603
2703,ENSG00000176142,170.1901021,-0.097095854,0.125490581,-0.773730212,0.43909035,0.659823297
2704,ENSG00000163389,136.114319,-0.220427007,0.155093571,-1.421251731,0.15524359,0.375397266
2705,ENSG00000113845,149.2149755,-0.318749264,0.155754968,-2.046478958,0.040709271,0.177481772
2706,ENSG00000121594,8.718945162,-0.013187756,0.60508783,-0.02179478,0.982611658,NA
2707,ENSG00000144843,70.38166872,0.052295163,0.232301589,0.225117541,0.821887836,0.912646276
2708,ENSG00000121577,15.68792962,-0.147437249,0.401615365,-0.367110578,0.713536537,NA
2709,ENSG00000138495,68.42154654,0.035056463,0.195390696,0.179417256,0.857610083,0.931020803
2710,ENSG00000082701,905.7854693,0.227059279,0.116200011,1.954038369,0.05069668,0.19844156
2711,ENSG00000163428,264.5391299,-0.337038278,0.121729806,-2.768740794,0.005627339,0.06259933
2712,ENSG00000163430,37.81843514,0.536994165,0.534034022,1.005542986,0.314635462,0.549729452
2713,ENSG00000065518,101.0362184,-0.23250381,0.166262093,-1.398417435,0.16198775,0.384113547
2714,ENSG00000113924,16.80528724,0.183724538,0.423047532,0.434288168,0.664079195,NA
2715,ENSG00000144840,71.31975014,-0.301636963,0.188382767,-1.601191912,0.10933442,0.308859217
2716,ENSG00000153767,81.62436271,-0.083280048,0.176341137,-0.472266704,0.636736433,0.800555459
2717,ENSG00000051341,21.74037111,0.96684517,0.469095431,2.061084177,0.03929501,NA
2718,ENSG00000163833,19.14542852,-0.014283414,0.404569437,-0.035305223,0.971836358,NA
2719,ENSG00000180353,3603.364421,0.60263246,0.154166121,3.908981136,9.27E-05,0.009054713
2720,ENSG00000173230,630.9337692,0.243415018,0.111162376,2.189724859,0.028544197,0.14579956
2721,ENSG00000173226,98.67913455,-0.394187547,0.193152963,-2.040805069,0.041270207,0.178808563
2722,ENSG00000145088,40.55851782,-0.063192542,0.297126418,-0.212678973,0.831577368,0.916769
2723,ENSG00000163406,86.5065953,0.106925485,0.266915805,0.400596304,0.688717367,0.833288013
2724,ENSG00000114013,165.9929842,-0.169883001,0.205307033,-0.827458265,0.407977368,0.635164659
2725,ENSG00000121552,53.96642398,0.32772176,0.298123027,1.099283617,0.271644376,0.509146883
2726,ENSG00000160124,20.84862404,-0.487046506,0.366935668,-1.327334869,0.184397934,NA
2727,ENSG00000114023,53.08878883,-0.597880388,0.23493483,-2.544877613,0.010931604,0.085994863
2728,ENSG00000196981,69.06185438,-0.318198186,0.15987748,-1.99026271,0.046562003,0.189812658
2729,ENSG00000114030,414.9967806,-0.083700113,0.102874599,-0.813613023,0.415866675,0.641335807
2730,ENSG00000138496,1025.509458,0.439693596,0.193255096,2.275197942,0.022894058,0.128219203
2731,ENSG00000163840,952.8712688,0.215018284,0.166408118,1.292114154,0.196317615,0.429450006
2732,ENSG00000173200,383.5246574,-0.470067797,0.193931645,-2.423883926,0.015355513,0.103548952
2733,ENSG00000173193,2722.029929,0.138163792,0.222528359,0.620881726,0.534677445,0.733467489
2734,ENSG00000169087,301.7350516,0.317339559,0.14862249,2.135205516,0.032744227,0.156548533
2735,ENSG00000138463,304.3375064,0.330081508,0.161185905,2.047831092,0.040576553,0.177312389
2736,ENSG00000065485,33.3488835,-0.077892524,0.310867022,-0.250565413,0.802150125,NA
2737,ENSG00000121542,53.55372155,-0.279569032,0.21655328,-1.290994216,0.196705683,0.429750065
2738,ENSG00000173175,14.95939414,-0.426142898,0.570282908,-0.747248238,0.454913731,NA
2739,ENSG00000206527,149.8464914,-0.137622982,0.151689708,-0.907266447,0.364265913,0.597116796
2740,ENSG00000065534,131.7696418,0.124866462,0.205454652,0.607756803,0.543348783,0.739260916
2741,ENSG00000175455,157.9809848,-0.042793322,0.16498821,-0.259371999,0.795348232,0.896883955
2742,ENSG00000160145,40.3583451,0.082774383,0.337110522,0.245540786,0.806037732,0.902413944
2743,ENSG00000114491,124.6624803,-0.236051353,0.185590567,-1.271893055,0.20341112,0.437333907
2744,ENSG00000082781,111.7358401,0.609095931,0.370190724,1.645357088,0.099896193,0.293407596
2745,ENSG00000173706,239.4211428,-0.206543908,0.189180236,-1.091783756,0.274928161,0.511669088
2746,ENSG00000163848,548.7792918,0.228670233,0.1153866,1.981774606,0.047504473,0.191978308
2747,ENSG00000114520,62.200322,-0.30433618,0.237229379,-1.28287728,0.199535074,0.433352062
2748,ENSG00000144909,568.9538593,0.304626199,0.127957649,2.380679872,0.017280722,0.109829302
2749,ENSG00000114547,10.42362725,-0.095928613,0.634225402,-0.151253186,0.879775996,NA
2750,ENSG00000114544,114.5317717,-0.34035399,0.156999999,-2.167859821,0.030169354,0.149368391
2751,ENSG00000163885,33.29424576,0.269874746,0.300091259,0.899308921,0.368488137,NA
2752,ENSG00000070476,809.8154728,0.041795548,0.082530297,0.50642672,0.612557121,0.785572923
2753,ENSG00000180767,71.69717062,0.477824025,0.370978383,1.288010424,0.197742335,0.43078165
2754,ENSG00000180697,10.61231359,0.522051501,0.616908269,0.846238455,0.397419733,NA
2755,ENSG00000197763,9.477759633,-1.43024837,0.678682027,-2.107390961,0.035083704,NA
2756,ENSG00000159685,32.43120412,-0.32689055,0.35289233,-0.926318093,0.354280696,NA
2757,ENSG00000114554,122.683232,-0.131508749,0.214574664,-0.612881068,0.539954982,0.737611796
2758,ENSG00000163870,196.0929112,0.053195266,0.13116406,0.405562823,0.685063849,0.831314344
2759,ENSG00000073111,74.48559852,0.337797071,0.21870515,1.544531859,0.122459539,0.327742891
2760,ENSG00000114631,32.23882677,-0.173594139,0.335734009,-0.517058547,0.60511529,NA
2761,ENSG00000114626,4850.067114,0.480471148,0.198682383,2.41828763,0.015593745,0.104130551
2762,ENSG00000074416,131.4365222,0.690024737,0.2878566,2.397112783,0.016524836,0.10755272
2763,ENSG00000058262,649.770339,-0.035998973,0.099313694,-0.362477435,0.716995283,0.849635136
2764,ENSG00000175792,140.4850526,-0.43341686,0.155751125,-2.782752668,0.005389988,0.061249219
2765,ENSG00000132394,103.3409324,-0.06023127,0.181115122,-0.332557928,0.739468006,0.864042968
2766,ENSG00000179348,253.4803962,-0.601550816,0.421010466,-1.428826273,0.153054172,0.372298997
2767,ENSG00000163902,907.8037246,0.165960745,0.10239488,1.620791443,0.105062374,0.301094819
2768,ENSG00000075785,1649.926335,0.535684239,0.152830572,3.505085617,0.00045646,0.019225591
2769,ENSG00000177646,178.9482349,-0.02388838,0.143615225,-0.166335984,0.867892549,0.936559349
2770,ENSG00000114656,122.5353197,0.836416273,0.258534498,3.235221135,0.001215486,0.031073495
2771,ENSG00000169704,139.2778864,0.803077845,0.349690917,2.296536187,0.021645243,0.124272714
2772,ENSG00000172780,146.1411999,0.588122403,0.170168615,3.456115595,0.00054802,0.021333349
2773,ENSG00000240682,60.27650085,0.091766729,0.214605221,0.42760716,0.668937152,0.82026812
2774,ENSG00000169714,1372.412063,-0.020296059,0.093647514,-0.216728221,0.828420153,0.915541484
2775,ENSG00000181789,631.5661672,0.230741603,0.10512677,2.194889118,0.028171553,0.144904427
2776,ENSG00000183624,178.6575854,-0.055931027,0.15683936,-0.356613461,0.721381199,0.852141906
2777,ENSG00000184897,183.3310401,-0.30424336,0.155142028,-1.961063452,0.049871621,0.196855768
2778,ENSG00000172771,39.06549684,0.711419198,0.35511141,2.003369024,0.045137694,0.186073036
2779,ENSG00000129071,285.5045452,0.198233437,0.133298076,1.487144026,0.136976776,0.349654825
2780,ENSG00000163913,103.5976088,0.483016717,0.151228143,3.193960517,0.001403353,0.033078577
2781,ENSG00000004399,696.2424887,0.030410808,0.165009101,0.184297765,0.853779868,0.928398656
2782,ENSG00000172765,534.2938949,0.454344132,0.166140656,2.734695663,0.006243797,0.066288746
2783,ENSG00000251287,7.637699627,-0.12126348,0.62209137,-0.194928729,0.845448743,NA
2784,ENSG00000206384,30.78371525,-0.311482342,0.364799394,-0.853845558,0.393190568,NA
2785,ENSG00000196455,247.7795718,-0.10987097,0.091722637,-1.197860998,0.230971136,0.46866352
2786,ENSG00000017260,284.4374432,-0.16479451,0.105513156,-1.56183851,0.118326037,0.322449314
2787,ENSG00000034533,78.36988046,-0.338045162,0.171771122,-1.967997638,0.049068309,0.195304034
2788,ENSG00000114670,25.20242448,0.429746981,0.343092663,1.252568262,0.210362871,NA
2789,ENSG00000198585,413.7293426,0.951150522,0.240556838,3.953953377,7.69E-05,0.00840329
2790,ENSG00000114686,110.9047027,-0.364569845,0.195582413,-1.864021608,0.06231867,0.224876746
2791,ENSG00000014257,256.5467842,0.15737491,0.19154652,0.821601512,0.411303729,0.63812929
2792,ENSG00000138246,494.6985411,0.132360925,0.12705967,1.041722563,0.297540325,0.532350613
2793,ENSG00000129048,8.233476585,-0.138591575,0.681492007,-0.203364931,0.838849808,NA
2794,ENSG00000081307,81.75853243,-0.22905825,0.217313418,-1.054045588,0.291862046,0.526869181
2795,ENSG00000113971,40.21102802,0.114209449,0.243233032,0.469547447,0.638678379,0.801942095
2796,ENSG00000144868,9.554170914,0.535046546,0.60525412,0.884003146,0.376694514,NA
2797,ENSG00000170819,7.607089256,-1.442715206,0.70998442,-2.032037839,0.042149825,NA
2798,ENSG00000091527,849.8473269,-0.046261843,0.084999177,-0.544262248,0.586261022,0.768789655
2799,ENSG00000163781,296.0435858,-0.039861227,0.104659097,-0.380867294,0.703301723,0.842012093
2800,ENSG00000144867,112.7412041,0.000771982,0.172679967,0.004470591,0.996432996,0.997889486
2801,ENSG00000154917,46.03415115,0.915615829,0.331439348,2.76254414,0.005735281,0.063309859
2802,ENSG00000163785,155.7788849,-0.400737098,0.153464154,-2.61127493,0.009020534,0.078099436
2803,ENSG00000129055,91.03348583,0.074020077,0.175102676,0.422723848,0.672496754,0.822521919
2804,ENSG00000182923,584.0636245,0.188463506,0.155426326,1.212558454,0.225298681,0.462431505
2805,ENSG00000154928,592.1909935,0.220077978,0.211466159,1.040724339,0.298003504,0.532622959
2806,ENSG00000174611,1055.182409,0.26595266,0.21549598,1.234142093,0.217149961,0.453482508
2807,ENSG00000073711,86.10394143,0.123661993,0.18043791,0.685343744,0.493127034,0.703904745
2808,ENSG00000174579,1106.964974,0.146488088,0.085973118,1.703882461,0.088403048,0.274311029
2809,ENSG00000114054,114.3952156,-0.156682111,0.190367125,-0.823052358,0.410478219,0.637425908
2810,ENSG00000118007,396.2871293,0.000673527,0.101246587,0.006652346,0.994692235,0.99718986
2811,ENSG00000168917,12.22810016,0.37397383,0.463490886,0.806863396,0.41974519,NA
2812,ENSG00000158092,146.9427409,-0.418594403,0.132666919,-3.155228201,0.001603726,0.034662933
2813,ENSG00000174564,9.974549869,-0.395214444,0.522521467,-0.756360206,0.44943326,NA
2814,ENSG00000158163,12.6711734,1.115802837,0.626564362,1.780827166,0.07494069,NA
2815,ENSG00000138231,107.3983306,-0.181241734,0.152295707,-1.19006463,0.234020991,0.472501713
2816,ENSG00000114098,409.6819691,0.099897537,0.096251055,1.037885106,0.299323548,0.534348758
2817,ENSG00000181322,38.8899717,0.370497278,0.254982958,1.453027608,0.146216089,0.362913664
2818,ENSG00000158186,27.17674167,0.013121678,0.376913062,0.034813539,0.972228424,NA
2819,ENSG00000158220,8.423334019,-0.80829302,0.596688873,-1.354630622,0.175535272,NA
2820,ENSG00000114107,24.02158673,-0.775077153,0.384267846,-2.01702318,0.043693094,NA
2821,ENSG00000158234,25.24420015,-0.57530079,0.359907795,-1.598467156,0.109939049,NA
2822,ENSG00000051382,392.8017515,0.231802229,0.107802405,2.150251011,0.031535365,0.153161128
2823,ENSG00000175110,69.12174687,-0.295577123,0.196604565,-1.503409261,0.13273354,0.343851181
2824,ENSG00000184432,474.6426797,0.139270238,0.090997704,1.53048078,0.125897767,0.332695129
2825,ENSG00000114113,7.574326244,-1.127400545,0.703414612,-1.602753946,0.108988988,NA
2826,ENSG00000163864,29.01132025,0.277604596,0.358869528,0.77355299,0.439195181,NA
2827,ENSG00000114120,205.1760326,-0.38811652,0.162983615,-2.381322322,0.01725061,0.109721659
2828,ENSG00000155893,150.7651703,0.739745469,0.232786618,3.177783475,0.001484055,0.034038689
2829,ENSG00000177311,432.700123,-0.198280801,0.133448704,-1.485820362,0.137326643,0.35032671
2830,ENSG00000155903,508.0811281,0.022528193,0.10334806,0.217983702,0.82744181,0.915159251
2831,ENSG00000114125,126.7084925,-0.278275206,0.15216202,-1.828808574,0.06742829,0.234583797
2832,ENSG00000069849,159.7464823,-0.170244298,0.1741601,-0.977516081,0.32831372,0.562845295
2833,ENSG00000114126,243.0898059,0.050122657,0.135683241,0.369409347,0.711822632,0.847184069
2834,ENSG00000175066,163.3920862,-0.245303804,0.198875817,-1.233452149,0.217407119,0.453755679
2835,ENSG00000114127,1087.660606,0.156616685,0.108493078,1.443563855,0.148861698,0.366749168
2836,ENSG00000175054,333.3993171,-0.191688857,0.127826464,-1.499602284,0.133717456,0.345584978
2837,ENSG00000120756,6.556391075,0.760136349,0.832676476,0.91288318,0.361303985,NA
2838,ENSG00000144935,26.93748558,-0.7433078,0.36919851,-2.013301193,0.044082953,NA
2839,ENSG00000163714,478.1150258,-0.147751167,0.116367255,-1.269697114,0.204192541,0.43828044
2840,ENSG00000175040,400.4334845,-0.129810186,0.158280786,-0.820125983,0.412144292,0.63875839
2841,ENSG00000181804,115.3279719,-0.27776314,0.170157989,-1.632383776,0.102598665,0.297770821
2842,ENSG00000181744,269.7465736,0.112969106,0.132855996,0.850312437,0.395151404,0.623805066
2843,ENSG00000152952,6.320612639,3.851994488,0.912811708,4.219922304,2.44E-05,NA
2844,ENSG00000114698,9.094863607,-0.934537472,0.774499154,-1.206634595,0.227572898,NA
2845,ENSG00000163746,6.365913543,-0.153152617,0.622582495,-0.2459957,0.805685561,NA
2846,ENSG00000188313,551.6464817,0.492787641,0.271111661,1.817655649,0.06911678,0.238520199
2847,ENSG00000163751,20.68170335,-0.794957013,0.536934697,-1.480546923,0.138727348,NA
2848,ENSG00000163754,315.4085865,0.43170814,0.200845149,2.149457647,0.03159814,0.153280329
2849,ENSG00000071794,63.86386754,-0.401045774,0.242588411,-1.65319428,0.09829133,0.290596999
2850,ENSG00000163755,252.9151467,-0.044964962,0.120994873,-0.371627005,0.71017058,0.846586596
2851,ENSG00000047457,35.14497061,0.160228549,0.267251866,0.599541365,0.548811934,NA
2852,ENSG00000018408,6.036086177,-0.12567323,0.768526572,-0.163524899,0.87010517,NA
2853,ENSG00000114744,80.65740133,-0.089576647,0.211986307,-0.422558647,0.672617303,0.822521919
2854,ENSG00000206199,39.66100097,0.011098014,0.305084555,0.036376847,0.970981875,0.986142972
2855,ENSG00000082996,550.8692931,0.210030351,0.135558214,1.549373851,0.121291876,0.326070106
2856,ENSG00000070087,31.93371047,0.060278601,0.305874033,0.197070019,0.843772745,NA
2857,ENSG00000196428,610.2006277,0.008641632,0.082411108,0.104860036,0.916486871,0.959606155
2858,ENSG00000120742,782.4896795,-0.114064109,0.103787932,-1.099011288,0.271763142,0.509146883
2859,ENSG00000144895,158.7837075,-0.56255921,0.180031546,-3.124781319,0.001779373,0.036475078
2860,ENSG00000198843,351.765476,0.053944315,0.129670952,0.416009244,0.677403239,0.825478684
2861,ENSG00000181788,1265.673065,0.576720103,0.342866884,1.68205251,0.092558658,0.280514694
2862,ENSG00000260234,7.232460406,2.17618554,0.896777773,2.426672032,0.015238024,NA
2863,ENSG00000144893,49.55064313,0.048754395,0.295036232,0.16524884,0.868748125,0.936559349
2864,ENSG00000174946,63.68989335,-0.312625081,0.299261754,-1.04465431,0.296182769,0.530906616
2865,ENSG00000174944,68.07880335,-0.227396523,0.343270112,-0.662441952,0.507688025,0.715528128
2866,ENSG00000181631,918.7220792,0.425748159,0.178012498,2.391675657,0.016771656,0.108199819
2867,ENSG00000169313,27.19468103,0.023509501,0.41726424,0.056341999,0.955069362,NA
2868,ENSG00000198829,9.479544379,0.809509087,0.639945996,1.264964687,0.205883987,NA
2869,ENSG00000152601,2667.699583,0.082098809,0.086265962,0.951694131,0.341252127,0.575964543
2870,ENSG00000169860,34.38785424,0.259346461,0.314830638,0.823765002,0.410073097,NA
2871,ENSG00000181467,812.8526832,-0.14698896,0.08469442,-1.735521181,0.082648533,0.262965627
2872,ENSG00000114790,22.61781999,0.129887868,0.402997628,0.3223043,0.747222176,NA
2873,ENSG00000174953,335.3006181,-0.050782044,0.125790756,-0.403702513,0.686431491,0.83199156
2874,ENSG00000196549,1808.383425,0.552137056,0.267141749,2.066831776,0.038750008,0.17252211
2875,ENSG00000114805,6.938396531,0.950686449,0.797238344,1.192474566,0.233075218,NA
2876,ENSG00000174928,8.4063763,-0.116918598,0.605483046,-0.193099706,0.846880883,NA
2877,ENSG00000169359,192.5193389,-0.157067806,0.13341208,-1.177313231,0.239070508,0.476873455
2878,ENSG00000163655,230.757943,-0.268479825,0.126303287,-2.125675681,0.033530273,0.158489565
2879,ENSG00000169282,39.74817657,-0.036252404,0.285492963,-0.126981779,0.89895482,0.951294607
2880,ENSG00000114850,313.1325657,-0.424838106,0.116423279,-3.649082111,0.000263179,0.01465012
2881,ENSG00000163659,253.7361835,0.309937475,0.139769536,2.21748948,0.026589661,0.1398036
2882,ENSG00000197980,6.850025955,-0.343203879,0.701888254,-0.48897225,0.624861343,NA
2883,ENSG00000163660,1093.666246,0.174332879,0.088124186,1.978263711,0.047898965,0.192633144
2884,ENSG00000197415,15.22828583,0.745766408,0.469207466,1.589417179,0.111966239,NA
2885,ENSG00000163661,8.48051377,0.934650065,0.761484311,1.227405544,0.219670204,NA
2886,ENSG00000174891,115.9589262,-0.112933269,0.163144476,-0.69222858,0.488793793,0.70108441
2887,ENSG00000168827,180.5832372,-0.074803337,0.116806863,-0.640401898,0.521911349,0.724234801
2888,ENSG00000079257,38.86973003,-0.189805875,0.276590497,-0.686234259,0.492565397,0.703764621
2889,ENSG00000118849,18.52612051,0.296844341,0.429212534,0.691602219,0.489187168,NA
2890,ENSG00000118855,553.9585817,0.25750451,0.133763218,1.925077125,0.05421971,0.205918685
2891,ENSG00000068885,35.47637219,-0.424721439,0.301475152,-1.408810763,0.158891132,NA
2892,ENSG00000113810,179.5919407,0.11072573,0.150439335,0.736015819,0.461721071,0.677872492
2893,ENSG00000213186,43.37618015,-0.529465661,0.287559402,-1.841239264,0.065586504,0.231467205
2894,ENSG00000186432,692.9506127,0.065134516,0.081277543,0.801383924,0.422909419,0.647083469
2895,ENSG00000163590,162.0659028,0.068481961,0.179687553,0.381116891,0.703116515,0.841968071
2896,ENSG00000169251,97.73186372,-0.392955407,0.200838257,-1.956576468,0.050397284,0.197910924
2897,ENSG00000196542,8.255613282,0.196553973,0.627305751,0.313330418,0.754029643,NA
2898,ENSG00000174776,24.34729717,-0.443013915,0.408300964,-1.085018046,0.277913662,NA
2899,ENSG00000114209,185.3702768,0.013043614,0.137794068,0.094660197,0.924584734,0.963785101
2900,ENSG00000163536,20.78941429,-0.961410652,0.394016898,-2.44002391,0.01468629,NA
2901,ENSG00000173905,84.67649157,0.164668276,0.213536617,0.771147723,0.440619376,0.661300857
2902,ENSG00000085274,86.96302154,-0.175751394,0.174433293,-1.007556476,0.313667432,0.548719298
2903,ENSG00000171757,7.947371732,-0.469903858,0.627155347,-0.749262301,0.453699125,NA
2904,ENSG00000008952,532.2320827,0.303747481,0.195531206,1.553447594,0.12031624,0.324793801
2905,ENSG00000173890,145.171119,0.625675983,0.223451796,2.800049027,0.005109485,0.059602921
