449820,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
167,ENSG00000173436,71.48190516,-0.518107424,0.544961931,-0.950722233,0.341745399,0.999758934
168,ENSG00000158748,16.99814535,1.143665203,0.886314015,1.290361186,0.196925282,0.999758934
169,ENSG00000162542,219.8943324,-0.190411271,0.360533106,-0.528138105,0.597403485,0.999758934
170,ENSG00000169914,123.3852216,-0.72460355,0.419418755,-1.727637453,0.084053244,0.999758934
171,ENSG00000187980,8.711714857,-1.611532681,1.728214247,-0.932484317,0.351086288,0.999758934
172,ENSG00000162543,17.4175332,0.330823199,1.000610002,0.33062152,0.740930389,0.999758934
173,ENSG00000158816,16.17783286,0.32978406,1.035832589,0.31837583,0.75019987,0.999758934
174,ENSG00000162545,7.76913811,-0.002405038,1.622201627,-0.001482576,0.998817076,0.999758934
175,ENSG00000090432,184.5161248,0.329964607,0.366613869,0.900033071,0.368102651,0.999758934
176,ENSG00000158825,506.3413627,0.709596797,0.503178474,1.410228843,0.158472122,0.999758934
177,ENSG00000158828,309.8197858,-0.463623506,0.427736002,-1.083901059,0.27840867,0.999758934
178,ENSG00000244038,576.2011428,0.063936529,0.304656918,0.209864033,0.833773795,0.999758934
179,ENSG00000127483,1202.035515,0.060965811,0.295770967,0.206125068,0.836693217,0.999758934
180,ENSG00000075151,584.1250514,0.257009563,0.393136587,0.653741147,0.513278589,0.999758934
181,ENSG00000117298,2046.805969,-0.083337657,0.29657264,-0.281002512,0.778708473,0.999758934
182,ENSG00000142794,89.72103916,-0.269841626,0.465690704,-0.579443874,0.562289707,0.999758934
183,ENSG00000162551,1551.872359,-0.518066868,0.458577534,-1.129725793,0.258591785,0.999758934
184,ENSG00000076864,56.08679024,-0.067876923,0.960444813,-0.070672382,0.943658502,0.999758934
185,ENSG00000090686,691.512719,-0.159048498,0.290802226,-0.546930128,0.584426736,0.999758934
186,ENSG00000142798,42.45887294,-1.639139028,1.123813562,-1.458550674,0.144688818,0.999758934
187,ENSG00000070831,2001.149952,0.174221896,0.269457176,0.646566178,0.517912754,0.999758934
188,ENSG00000162552,148.7313512,0.079184567,0.431962841,0.183313377,0.854552139,0.999758934
189,ENSG00000184677,489.0391825,-0.10247747,0.330698022,-0.309882319,0.756650449,0.999758934
190,ENSG00000173372,18.75836234,1.751505758,1.194016588,1.466902366,0.142402617,0.999758934
191,ENSG00000133216,26.96957272,-0.941982043,0.928736474,-1.014261923,0.310457788,0.999758934
192,ENSG00000004487,273.6144135,-0.395928204,0.385958377,-1.025831354,0.304971084,0.999758934
193,ENSG00000169641,232.1021916,0.098641651,0.353470422,0.27906621,0.780194014,0.999758934
194,ENSG00000125944,558.2653417,-0.006263295,0.317032507,-0.019756001,0.984238017,0.999758934
195,ENSG00000125945,73.75299703,-0.359143665,0.50201065,-0.71541045,0.474355457,0.999758934
196,ENSG00000204219,46.83746359,-0.076676973,0.783477064,-0.09786754,0.922037476,0.999758934
197,ENSG00000088280,9.035112186,-2.375341938,1.793774705,-1.324214201,0.185431916,0.999758934
198,ENSG00000007968,619.1216152,0.255565843,0.944703579,0.270524902,0.786756462,0.999758934
199,ENSG00000117318,103.7556682,0.904378752,0.595798687,1.517926727,0.129032871,0.999758934
200,ENSG00000142676,914.2512692,0.116955568,0.415726842,0.281327921,0.778458897,0.999758934
201,ENSG00000011007,221.5314619,0.098912167,0.517446082,0.191154538,0.84840452,0.999758934
202,ENSG00000057757,936.7210449,-0.25873395,0.953317807,-0.271403668,0.786080581,0.999758934
203,ENSG00000011009,234.3812792,0.205994687,0.356534188,0.577769801,0.563419547,0.999758934
204,ENSG00000117308,42.00120902,-0.417021744,0.684978583,-0.608809902,0.542650449,0.999758934
205,ENSG00000117305,156.6384631,-0.223187395,0.4216249,-0.529350603,0.596562258,0.999758934
206,ENSG00000179163,130.3925543,0.763064205,0.441555379,1.72812798,0.083965282,0.999758934
207,ENSG00000188822,138.0060687,0.250846123,0.4573483,0.548479404,0.583362767,0.999758934
208,ENSG00000189266,588.154265,0.029728604,0.293566911,0.101266877,0.91933861,0.999758934
209,ENSG00000188529,641.2239839,0.04395758,0.313225942,0.140338247,0.888392747,0.999758934
210,ENSG00000185436,44.37120718,-0.153269101,0.586248855,-0.261440342,0.79375295,0.999758934
