row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,hgnc
ENSG00000116198,206.6770247,-1.197773333,0.585899028,-2.044334051,0.040920558,0.999480687,CEP104
ENSG00000169598,57.75234296,-1.6859595,0.894591221,-1.884614403,0.059481916,0.999480687,DFFB
ENSG00000198912,59.2030215,0.192575783,0.863363816,0.223052877,0.823494353,0.999480687,C1orf174
ENSG00000196581,6.968770728,0.840094204,2.457253421,0.34188342,0.732438627,0.999480687,AJAP1
ENSG00000131697,120.4621028,0.674831708,0.694963141,0.971032373,0.331532158,0.999480687,NPHP4
ENSG00000069424,1287.401017,-0.472487373,0.442287529,-1.068281021,0.285393767,0.999480687,KCNAB2
ENSG00000116254,7.824904135,1.149219813,2.535892912,0.453181524,0.650418036,0.999480687,CHD5
ENSG00000116251,271.011204,-1.077771096,0.559985901,-1.924639697,0.054274449,0.999480687,RPL22
ENSG00000158286,15.87930218,0.851915807,1.472723705,0.578462752,0.562951738,0.999480687,RNF207
ENSG00000116237,84.88395042,-0.405841347,0.793771336,-0.511282442,0.609153298,0.999480687,ICMT
ENSG00000173673,0.657235293,2.229456189,4.938509839,0.4514431,0.651670226,0.999480687,HES3
ENSG00000158292,14.91969507,0.591526396,1.563845734,0.378251118,0.705244055,0.999480687,GPR153
ENSG00000097021,26.63516872,-0.570676913,1.174066645,-0.486068585,0.62691854,0.999480687,ACOT7
ENSG00000069812,0.657235293,2.229456189,4.938509839,0.4514431,0.651670226,0.999480687,HES2
ENSG00000215788,74.50527015,-0.325968065,0.785755327,-0.414846777,0.678254074,0.999480687,TNFRSF25
ENSG00000171680,14.48792482,-0.469119869,1.536689231,-0.305279597,0.760153214,0.999480687,PLEKHG5
ENSG00000162408,179.7825174,-0.230100454,0.592823614,-0.3881432,0.697910064,0.999480687,NOL9
ENSG00000204859,316.1650636,0.086998157,0.523824023,0.166082794,0.868091794,0.999480687,ZBTB48
ENSG00000162413,1303.331341,0.259329853,0.439471478,0.590094843,0.555127066,0.999480687,KLHL21
ENSG00000116273,65.75666555,0.130441381,0.818481314,0.159370017,0.87337736,0.999480687,PHF13
ENSG00000041988,38.37190423,-0.418562147,1.064215268,-0.393305903,0.694093559,0.999480687,THAP3
ENSG00000007923,63.7671806,-0.298295794,0.855832988,-0.348544399,0.727431376,0.999480687,DNAJC11
ENSG00000171735,42.40165174,0.142317916,0.96786957,0.147042453,0.883098512,0.999480687,CAMTA1
ENSG00000049245,217.4655718,0.131402118,0.631541435,0.208065712,0.835177659,0.999480687,VAMP3
ENSG00000049246,28.35592634,-0.621881199,1.140540477,-0.545251319,0.58558068,0.999480687,PER3
ENSG00000049247,4.071560899,-1.069021151,3.077963956,-0.347314383,0.728355147,0.999480687,UTS2
ENSG00000049249,70.37244834,0.762018157,0.81890166,0.930536833,0.352093203,0.999480687,TNFRSF9
