,no.vs.healthy,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
131,ENSG00000142634,4008.796726,0.099117311,0.104461312,0.948842296,0.342700826,0.77515765
132,ENSG00000215704,9.152981523,-0.927413714,0.443243006,-2.092336936,0.036408386,0.470237533
133,ENSG00000132906,121.8158324,-0.085936239,0.127120398,-0.676022425,0.499026407,0.846738121
134,ENSG00000116138,184.3951014,0.061416064,0.107097866,0.573457404,0.566335033,0.874983705
135,ENSG00000116771,33.73522476,-0.158087903,0.257493951,-0.613948027,0.539249672,0.863690945
136,ENSG00000197312,364.7501847,0.090060096,0.08687599,1.036651168,0.299898457,0.754648655
137,ENSG00000116786,497.4415373,0.109863634,0.075894002,1.447593102,0.147730881,0.645111487
138,ENSG00000162461,10.1460117,-0.352512321,0.498076161,-0.707747827,0.479101871,0.838052802
139,ENSG00000233954,9.501493315,-0.552980158,0.393263579,-1.406131124,0.159685192,0.657798858
140,ENSG00000065526,1767.768426,0.018650878,0.065145645,0.286295083,0.774652124,0.94278017
141,ENSG00000116809,312.4813785,-0.254344127,0.093913964,-2.708267401,0.00676355,0.317535947
142,ENSG00000142627,10.82351151,-0.892010937,0.55889535,-1.596024973,0.110483218,0.61610978
143,ENSG00000142632,31.572905,-0.238102255,0.237011059,-1.004603988,0.315087576,0.760571013
144,ENSG00000132881,29.51296719,-0.181331335,0.228165418,-0.794736275,0.426766927,0.816302304
145,ENSG00000037637,330.3321357,0.087408628,0.076803994,1.138073994,0.255089586,0.730604578
146,ENSG00000055070,458.4413622,0.092578703,0.073198281,1.264766089,0.205955191,0.70031006
147,ENSG00000187144,30.70947493,0.043509072,0.216154426,0.201286981,0.840474182,0.959453126
148,ENSG00000157191,724.0743427,-8.77E-05,0.077524607,-0.001131574,0.999097135,0.999964329
149,ENSG00000219481,158.06624,-0.187035261,0.163611664,-1.143165818,0.252969751,0.729829924
150,ENSG00000058453,317.8749919,-0.257886807,0.145906734,-1.76747707,0.077148366,0.56457427
151,ENSG00000159363,261.6354406,0.015894553,0.096070959,0.165445972,0.868592972,0.965216815
152,ENSG00000117118,184.7508645,0.062094263,0.093018528,0.667547261,0.504422632,0.849440263
153,ENSG00000117115,1846.814505,0.368120044,0.228771723,1.609115144,0.107591166,0.613906171
154,ENSG00000159339,840.4883999,0.209556937,0.190861998,1.097950037,0.272226307,0.74167238
155,ENSG00000179051,481.9973405,-0.032366805,0.094901657,-0.341056264,0.733061226,0.928214845
156,ENSG00000074964,324.3350414,0.072147936,0.166819361,0.432491384,0.665384313,0.909187412
157,ENSG00000159423,11.91286099,0.163230317,0.387891073,0.420814832,0.6738903,0.912425684
158,ENSG00000169991,178.1380004,-0.184787695,0.167754569,-1.101535987,0.270663451,0.740995629
159,ENSG00000127481,2296.023742,-0.031944822,0.067512883,-0.473166318,0.636094526,0.899542405
160,ENSG00000127463,276.8987265,-0.144913735,0.091651385,-1.581140693,0.113845872,0.617768007
161,ENSG00000053372,54.88641182,-0.375120987,0.188543549,-1.989572111,0.046638091,0.512368591
162,ENSG00000053371,111.7116501,-0.10037116,0.137022702,-0.732514821,0.4638544,0.832351282
163,ENSG00000040487,94.6407648,0.013601239,0.144522217,0.09411175,0.925020386,0.982149824
164,ENSG00000077549,2016.929971,0.101686188,0.073752378,1.378751307,0.167971444,0.663930761
165,ENSG00000173436,69.76707133,-0.146390687,0.14415588,-1.015502712,0.309866254,0.758657778
166,ENSG00000158747,6.613546858,-1.212918931,0.591856402,-2.049346644,0.040428231,0.490513615
167,ENSG00000158748,14.9705971,-1.065345653,0.426606818,-2.497254165,0.012515921,0.374171569
168,ENSG00000162542,185.9366671,-0.08499895,0.123761652,-0.686795536,0.492211583,0.843986734
169,ENSG00000169914,107.4152933,-0.107648502,0.154803618,-0.695387509,0.486812486,0.840994945
170,ENSG00000162543,20.51025912,-0.078794947,0.339147854,-0.232332142,0.81628005,0.951587515
171,ENSG00000158816,16.23666644,-0.544279562,0.394998001,-1.377929916,0.168224927,0.66397531
172,ENSG00000162545,7.477746388,-0.625236852,0.427150079,-1.463740457,0.143264877,0.641634533
173,ENSG00000090432,174.4868274,0.101782375,0.114106846,0.891991836,0.372397308,0.788356742
174,ENSG00000158825,514.2044019,0.30487731,0.195840391,1.556764203,0.119526479,0.623336572
175,ENSG00000158828,404.3654859,0.117925733,0.189276084,0.62303557,0.533261147,0.862914635
176,ENSG00000244038,498.7667952,0.023815398,0.07765673,0.306675258,0.759090564,0.936142791
177,ENSG00000127483,1100.70564,0.010269636,0.063713402,0.161184866,0.8719478,0.965216815
178,ENSG00000075151,577.3544798,0.174202129,0.106491911,1.635824991,0.10187622,0.601020656
179,ENSG00000117298,2360.74982,0.181505611,0.130026131,1.395916416,0.162739667,0.661379759
180,ENSG00000142794,67.34832575,-0.439857479,0.231548556,-1.899633865,0.057481185,0.531088281
181,ENSG00000162551,1981.646658,0.346114814,0.265903971,1.301653422,0.193034889,0.689218255
182,ENSG00000076864,266.6809536,1.13446892,0.546784494,2.074800825,0.038004998,0.478798621
183,ENSG00000090686,658.2804696,-0.003991288,0.066530975,-0.059991422,0.952162467,0.988659511
184,ENSG00000142798,40.47245001,-0.682311902,0.31408091,-2.172408064,0.029824897,0.450151941
185,ENSG00000070831,1964.897541,0.133008435,0.079159839,1.680251464,0.0929084,0.589961732
186,ENSG00000162552,124.7621667,-0.164988179,0.123071012,-1.340593342,0.18005252,0.675566796
187,ENSG00000184677,443.6038395,-0.097126784,0.104973649,-0.925249192,0.354836301,0.780149876
188,ENSG00000173372,24.01340566,0.789372637,0.416316205,1.896089144,0.057948258,0.531549368
189,ENSG00000159189,11.04334692,3.123006682,0.617959978,5.053736155,4.33E-07,0.003723904
190,ENSG00000173369,12.35572759,1.502772788,0.524157715,2.867024077,0.004143515,0.291201345
191,ENSG00000133216,36.14946802,0.367167527,0.362685948,1.012356636,0.311367564,0.758657778
192,ENSG00000004487,246.4696681,-0.272015446,0.107375821,-2.533302601,0.011299336,0.363265176
193,ENSG00000169641,186.7146398,0.044490053,0.130946916,0.339756399,0.734039985,0.928465514
194,ENSG00000125944,550.8185243,0.007470901,0.083357517,0.089624799,0.928585377,0.982911481
195,ENSG00000125945,66.0176404,0.015126503,0.147826797,0.102325854,0.918498035,0.979526195
196,ENSG00000204219,51.78272954,0.18931828,0.287735102,0.657960323,0.510563627,0.851847039
197,ENSG00000088280,10.11943935,-0.476154476,0.468126258,-1.017149685,0.309082228,0.758657778
198,ENSG00000007968,994.3008795,0.663267363,0.320474178,2.069643698,0.038485723,0.480336252
199,ENSG00000117318,70.12805223,-0.374413815,0.207472347,-1.804644431,0.071130341,0.551800629
200,ENSG00000142676,546.6582189,0.241184473,0.191040306,1.262479514,0.206776293,0.701050156
201,ENSG00000011007,216.4037662,0.066258535,0.105038316,0.630803473,0.528169032,0.861128849
202,ENSG00000057757,1052.073366,0.531953439,0.322784765,1.648012845,0.099350035,0.598513573
203,ENSG00000011009,243.6539431,-0.048250227,0.082538235,-0.584580304,0.558829955,0.872462792
204,ENSG00000117308,47.91363355,0.20154361,0.176318013,1.143068744,0.25301005,0.729829924
205,ENSG00000117305,160.5023626,0.159575635,0.109073516,1.463009906,0.143464668,0.641634533
206,ENSG00000179163,126.0789669,0.172205899,0.162201481,1.061678958,0.288381455,0.749263977
207,ENSG00000188822,100.0516535,-0.387827243,0.180791463,-2.14516348,0.031939778,0.456781399
208,ENSG00000189266,501.6577857,0.046283309,0.09148466,0.505913328,0.612917495,0.892582764
209,ENSG00000188529,506.7212755,-0.055439399,0.093992323,-0.589829007,0.555305294,0.871454351
210,ENSG00000185436,40.38353683,-0.234742225,0.228232414,-1.028522729,0.303704005,0.758012078
211,ENSG00000001460,35.92155704,-0.397454427,0.217209979,-1.829816612,0.067277366,0.544057097
212,ENSG00000001461,433.6180491,-0.051959616,0.099107174,-0.524277044,0.600085861,0.889315992
213,ENSG00000117602,528.9955815,-0.133620364,0.150999102,-0.884908336,0.376206071,0.789556851
214,ENSG00000133226,732.7251274,-0.059516948,0.067676109,-0.879438097,0.379163783,0.790414906
215,ENSG00000169504,186.2851885,-0.038069513,0.146644284,-0.259604477,0.795168882,0.946797748
216,ENSG00000020633,1171.792476,-0.213832397,0.113079045,-1.89099933,0.058624434,0.531549368
217,ENSG00000117614,204.9097104,0.233731896,0.112715292,2.0736485,0.038111967,0.479341881
218,ENSG00000117616,1883.654485,0.106735364,0.092562655,1.153114764,0.248863282,0.728931205
219,ENSG00000187010,198.0345749,1.195401688,0.416636414,2.869172368,0.004115475,0.291201345
220,ENSG00000183726,441.5602611,0.224973808,0.092810267,2.42401854,0.015349822,0.387295445
221,ENSG00000188672,39.32839462,0.718159239,0.279379499,2.57055096,0.010153689,0.348662048
222,ENSG00000204178,186.8931983,0.151983497,0.109020283,1.3940846,0.163292059,0.661518755
223,ENSG00000157978,812.2295171,-0.184529758,0.132926842,-1.388205384,0.165074513,0.661631072
224,ENSG00000117643,263.1686301,-0.123601757,0.172775798,-0.715388138,0.47436924,0.836165389
225,ENSG00000162430,167.7974834,0.043858821,0.127497014,0.343998809,0.730847182,0.927569766
226,ENSG00000117640,76.79297737,-0.021775196,0.142286284,-0.153037915,0.878368376,0.967096267
227,ENSG00000127423,7.762783461,-0.029640949,0.52440456,-0.056523057,0.954925128,0.989121921
228,ENSG00000182749,54.48501674,-0.222574511,0.162702271,-1.3679865,0.171316302,0.666713673
229,ENSG00000117632,42.01156493,0.071143409,0.20888869,0.340580473,0.733419432,0.928438702
230,ENSG00000158006,158.2646741,-0.298002541,0.122460844,-2.43345164,0.014955633,0.385612574
231,ENSG00000175087,65.58537746,-0.03217645,0.16742404,-0.192185365,0.847597009,0.960645459
232,ENSG00000142675,10.34437583,-0.384850813,0.455683037,-0.84455813,0.398357595,0.800386443
233,ENSG00000130695,130.7633589,0.01641614,0.136457425,0.120302283,0.904243696,0.975319136
234,ENSG00000142669,1538.932221,0.210235034,0.119740254,1.755759052,0.079129559,0.568340982
235,ENSG00000158062,493.4976393,0.061767501,0.096469813,0.640278019,0.521991869,0.858238843
236,ENSG00000169442,118.6335473,-0.026467091,0.164796603,-0.160604589,0.87240484,0.965216815
237,ENSG00000176092,49.49360658,-0.133736456,0.216203796,-0.618566642,0.536201883,0.862989004
238,ENSG00000176083,50.19590357,0.121881906,0.397175827,0.306871409,0.758941252,0.936142791
239,ENSG00000117682,312.3380296,-0.140760569,0.080705554,-1.744124926,0.081137309,0.574915786
240,ENSG00000198830,924.3097029,0.11016179,0.080438993,1.369507315,0.17084075,0.666401161
241,ENSG00000117676,2142.191693,0.049188521,0.103969083,0.473107194,0.636136705,0.899542405
242,ENSG00000117713,2322.276774,-0.024520564,0.081914946,-0.299341755,0.764679298,0.939151818
243,ENSG00000060642,128.5409377,-0.055314881,0.120465396,-0.459176519,0.646107411,0.90324355
244,ENSG00000204160,2396.488399,0.07573416,0.138649162,0.546228765,0.584908696,0.882012912
245,ENSG00000142751,201.9572043,-0.057680505,0.093484331,-0.617007194,0.53722998,0.862989004
246,ENSG00000198746,83.41286796,0.057652524,0.131960631,0.436891849,0.662189783,0.908153996
247,ENSG00000090273,237.316435,0.030301286,0.102894132,0.294489935,0.768383554,0.940860615
248,ENSG00000175707,10.34914375,-0.473251416,0.412437062,-1.147451233,0.251195177,0.728931205
249,ENSG00000253368,6.088684263,1.235565416,0.55519034,2.225480754,0.026048982,0.439832311
250,ENSG00000090020,441.714381,0.045356028,0.116658005,0.388794817,0.697427935,0.917751292
251,ENSG00000142784,1639.329007,0.198187826,0.136269764,1.45437858,0.145841375,0.645111487
252,ENSG00000186501,227.2406119,-0.130110348,0.091196973,-1.426695912,0.153667564,0.651492435
253,ENSG00000142765,739.3523885,-0.233131416,0.077625012,-3.003302824,0.002670665,0.253656394
254,ENSG00000142733,65.15762975,0.167086352,0.195766093,0.853499955,0.393382113,0.797929526
255,ENSG00000158195,4069.671958,0.297292763,0.153964854,1.930913157,0.053493793,0.521543661
256,ENSG00000126705,171.1845105,-0.178262991,0.116922138,-1.524629923,0.12735143,0.631214458
257,ENSG00000000938,3520.707163,0.170692297,0.123677914,1.380135637,0.167544886,0.663357689
258,ENSG00000126709,677.7396308,1.087588312,0.371243421,2.929582722,0.003394175,0.277001982
259,ENSG00000009780,81.14303115,-0.001749454,0.132383556,-0.013215041,0.98945623,0.998500756
260,ENSG00000117758,219.0614331,0.14888599,0.087012999,1.711077562,0.087066796,0.581594392
261,ENSG00000117751,122.8584751,-0.071205943,0.112745666,-0.631562578,0.527672746,0.861044647
262,ENSG00000130775,3131.093395,0.16423186,0.106436544,1.543002564,0.122830154,0.625357111
263,ENSG00000117748,364.5911882,0.129747823,0.104739319,1.238769015,0.215431052,0.705715569
264,ENSG00000130768,11.51810714,-0.271086118,0.402985842,-0.6726939,0.501142049,0.847706748
265,ENSG00000158156,406.5808799,0.093370731,0.148186554,0.630089087,0.528636299,0.861128849
266,ENSG00000158161,291.7770582,-0.002478647,0.081009448,-0.030597014,0.975590923,0.995826857
267,ENSG00000169403,2172.888293,0.020334233,0.138453319,0.146867069,0.883236945,0.968575508
268,ENSG00000126698,189.0896992,0.122119742,0.121930571,1.001551466,0.316560272,0.760571013
269,ENSG00000130770,120.0039025,-0.123931011,0.11263484,-1.100290205,0.271205699,0.741090841
270,ENSG00000130766,138.6487929,0.045526388,0.127342371,0.357511701,0.720708768,0.924430552
271,ENSG00000130772,92.40597979,-0.026959526,0.13533922,-0.199199653,0.842106571,0.959866779
272,ENSG00000204138,207.6007322,-0.01350761,0.107266275,-0.125925977,0.89979052,0.973906026
273,ENSG00000180198,87.29536882,-0.299473201,0.140743625,-2.1277923,0.033354308,0.459630083
274,ENSG00000180098,95.27392519,0.009648415,0.142758332,0.067585652,0.946115478,0.987537256
275,ENSG00000120656,134.3976371,0.02242908,0.116150508,0.193103588,0.846877843,0.960645459
276,ENSG00000188060,23.00242874,-0.123887313,0.38069391,-0.325424992,0.744859443,0.93138727
