AIHelite.vs.AIHpartial,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
96,ENSG00000162444,36.82370382,-0.083399006,0.290297508,-0.287288055,0.773891768,0.963095456
97,ENSG00000130939,714.2271475,0.101313357,0.095759643,1.057996394,0.290057086,0.856385363
98,ENSG00000054523,746.3754591,0.310428194,0.158609419,1.957186375,0.05032556,0.807632706
99,ENSG00000142657,1633.982467,0.045597096,0.182219778,0.250231324,0.802408462,0.968106026
100,ENSG00000160049,120.7523268,-0.225253465,0.172708317,-1.304242145,0.192151035,0.83412935
101,ENSG00000142655,115.0814502,-0.08300297,0.172205391,-0.481999835,0.629806064,0.938817418
102,ENSG00000130940,125.2152461,0.130350295,0.147258765,0.88517852,0.376060355,0.879022275
103,ENSG00000120948,202.1561392,-0.014044465,0.111240597,-0.126253053,0.899531617,0.981936242
104,ENSG00000009724,46.35700418,-0.126051753,0.253415595,-0.497411191,0.618899115,0.938475317
105,ENSG00000116649,124.4091471,0.17303709,0.164899751,1.049347187,0.294018356,0.856385363
106,ENSG00000171824,173.9007043,-0.014890965,0.138686417,-0.107371472,0.914494286,0.986620552
107,ENSG00000198793,624.5573474,-0.036372123,0.080856257,-0.449836839,0.652828093,0.944986682
108,ENSG00000171819,35.24913028,0.362085265,0.241271322,1.500738929,0.1334231,0.814137503
109,ENSG00000120942,176.7886804,-0.172645034,0.162473159,-1.062606495,0.28796044,0.856298384
110,ENSG00000204624,8.027751634,0.028915179,0.772391527,0.037435909,0.970137442,0.995548449
111,ENSG00000116661,16.89601109,-0.38056056,0.418824035,-0.908640689,0.363539821,0.877647955
112,ENSG00000132879,79.2920745,-0.182180871,0.189836895,-0.959670518,0.337221066,0.872203619
113,ENSG00000116663,119.6888519,0.11537338,0.189509572,0.608799752,0.542657178,0.919574674
114,ENSG00000116670,90.74480964,-0.039993212,0.183488549,-0.217960259,0.827460076,0.971532433
115,ENSG00000162490,25.27694696,0.06326785,0.327489779,0.193190303,0.846809933,0.974191558
116,ENSG00000177674,849.452504,0.145609955,0.130502703,1.115761981,0.264524032,0.849756442
117,ENSG00000177000,413.473855,0.023509342,0.097939791,0.24003872,0.81030024,0.968908949
118,ENSG00000011021,186.671451,-0.135574527,0.137133839,-0.988629266,0.322844562,0.866670681
119,ENSG00000116685,784.6004564,0.166281785,0.12294236,1.352518245,0.176209586,0.823507234
120,ENSG00000083444,310.6969903,0.258544706,0.161360378,1.602281236,0.109093433,0.808449263
121,ENSG00000116688,962.8605027,0.405812646,0.17962368,2.259238016,0.023868583,0.807632706
122,ENSG00000116691,287.8364008,0.250858232,0.159654893,1.571253016,0.11612389,0.814137503
123,ENSG00000120949,126.5902566,-0.220159461,0.197187023,-1.116500759,0.264207845,0.849756442
124,ENSG00000028137,5259.686182,0.141021296,0.118942306,1.185627722,0.235769349,0.843995871
125,ENSG00000048707,1403.487515,0.115523127,0.064318771,1.79610283,0.072478164,0.808449263
126,ENSG00000162496,153.6787898,-0.202657146,0.1881201,-1.07727535,0.281357271,0.851951572
127,ENSG00000116731,1330.839159,0.119010863,0.061387978,1.938667251,0.052541869,0.807632706
128,ENSG00000189337,82.45841369,-0.022630487,0.354664912,-0.063808081,0.949123044,0.991051803
129,ENSG00000171729,11.72243136,0.315768771,0.514902979,0.613258777,0.539705246,0.918436588
130,ENSG00000142621,19.86687041,-0.356421527,0.532390271,-0.669474156,0.503193061,0.906706622
131,ENSG00000142634,3996.421927,0.115162387,0.124231547,0.926997936,0.353927606,0.877647955
132,ENSG00000215704,9.118304555,0.126322432,0.544706231,0.231909284,0.816608473,0.968945579
133,ENSG00000132906,122.1289969,0.104470129,0.148551009,0.703260988,0.481893118,0.901602138
134,ENSG00000116138,184.9944586,-0.169939695,0.128553285,-1.321939727,0.186188222,0.832738981
