AIHsteroid.vs.AIHnotx,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
277,ENSG00000162419,176.1358414,0.109891289,0.144907954,0.75835236,0.44824007,NA
278,ENSG00000198492,322.7963122,-0.072412075,0.093299243,-0.776127141,0.43767392,NA
279,ENSG00000159023,11175.10343,0.185756308,0.42838381,0.433621213,0.664563528,0.766026317
280,ENSG00000253304,16.73817316,-0.120052546,0.483297582,-0.248402952,0.80382265,NA
281,ENSG00000116350,802.0387722,0.171460372,0.097228499,1.763478555,0.077819811,0.186801854
282,ENSG00000116353,53.17555375,-0.104968981,0.274110832,-0.382943572,0.701761604,NA
283,ENSG00000162511,7744.347056,0.353404086,0.135311392,2.61178369,0.009007122,0.054695667
284,ENSG00000162512,31.99249164,0.677200707,0.480514946,1.409322879,0.158739717,NA
285,ENSG00000134644,795.5533738,-0.045571959,0.10230204,-0.445464813,0.655983883,0.759411625
286,ENSG00000060688,156.6510534,-0.359438371,0.159807273,-2.249199084,0.024499833,NA
287,ENSG00000121766,53.54244029,-0.136058323,0.241191695,-0.564108656,0.572680188,NA
288,ENSG00000121769,27.45485771,-0.378869645,0.411226861,-0.92131541,0.356885778,NA
289,ENSG00000168528,53.50159472,0.921900853,0.55735899,1.65405218,0.098116911,NA
290,ENSG00000121764,24.31183509,0.42081421,0.367065465,1.146428227,0.251618009,NA
291,ENSG00000162517,136.8548726,-0.16592229,0.160247128,-1.035415067,0.300475112,NA
292,ENSG00000121753,12.62234425,0.751968218,0.669880894,1.122540179,0.261632834,NA
293,ENSG00000134668,18.77560834,0.330909292,0.657298937,0.503438045,0.614656329,NA
294,ENSG00000184007,1136.148732,-0.058429397,0.089090564,-0.655842716,0.511925329,0.642759435
295,ENSG00000121774,663.9261391,0.06971255,0.093170651,0.748224355,0.454324843,0.596506635
296,ENSG00000121775,101.6126786,-0.128193534,0.162469435,-0.789031697,0.430093481,NA
297,ENSG00000025800,520.3554993,0.072727313,0.108015062,0.673307147,0.500751907,0.633989514
298,ENSG00000084652,365.9776786,-0.080448461,0.133831192,-0.601118919,0.547760783,NA
299,ENSG00000160050,39.56149171,-0.051006823,0.285725702,-0.178516746,0.858317171,NA
300,ENSG00000160051,21.12052859,0.121025557,0.361286273,0.334985207,0.737636245,NA
301,ENSG00000222046,37.02248361,0.205472492,0.320624427,0.640851024,0.521619479,NA
